date,year,month,day_of_week,hour,is_weekend,season,weather,temperature_c,humidity,windspeed_kmh,air_quality_index,holiday,working_day,fuel_price,traffic_index,app_active_users,promotion_active,city_zone,near_metro_station,special_event,bike_station_capacity,bike_demand
07-11-2025,2025,11,4,18,0,Autumn,Mist,23.6,82,18.1,48,0,1,115.96,50.7,24211,0,Residential,1,0,304,668
17-04-2023,2023,4,0,19,0,Spring,Heavy Rain,27.2,88,29.5,102,0,1,112.67,72.6,33078,0,Tourist Area,1,0,281,596
07-04-2023,2023,4,4,7,0,Spring,Clear,30.7,71,16.5,74,0,1,91.07,75.5,39685,0,Residential,1,0,410,869
24-04-2023,2023,4,0,19,0,Spring,Light Rain,21.1,89,18,74,1,0,103.66,71.4,24987,1,Tourist Area,1,0,489,591
30-09-2024,2024,9,0,19,0,Monsoon,Light Rain,27.3,93,28.9,94,0,1,94.57,59.6,38148,0,Residential,0,0,228,260
17-02-2023,2023,2,4,18,0,Winter,Clear,18.4,60,21,112,0,1,85.79,71.8,42780,0,University Area,0,0,313,739
15-03-2023,2023,3,2,19,0,Spring,Clear,32.5,54,9.7,130,0,1,103.39,47.6,17609,0,Tourist Area,0,0,324,721
31-07-2025,2025,7,3,19,0,Summer,Cloudy,31.2,81,9,99,0,1,107.27,40.6,13682,1,Residential,1,0,411,653
13-08-2023,2023,8,6,20,1,Summer,Mist,35.9,74,20.8,113,0,0,96.54,49.9,29873,1,Business District,0,0,261,441
22-04-2023,2023,4,5,7,1,Spring,Cloudy,27.5,61,14.4,81,0,0,86.97,34.8,49817,0,Business District,1,0,144,681
26-04-2025,2025,4,5,18,1,Spring,Cloudy,25.6,78,19.2,138,0,0,102.93,49.4,12769,1,Residential,0,0,360,564
25-02-2024,2024,2,6,11,1,Winter,Clear,18.2,72,14.2,79,0,0,98.63,91.2,28108,0,Residential,1,0,294,559
31-08-2024,2024,8,5,20,1,Summer,Clear,37.2,62,6.4,77,0,0,94.92,85.4,5257,0,University Area,0,0,207,429
